longitude,latitude,objectid,inckey,coldetkey,reportno,status,addrtype,intkey,location,exceptrsncode,exceptrsndesc,severitycode,severitydesc,collisiontype,personcount,pedcount,pedcylcount,vehcount,injuries,fatalities,incdate,incdttm,junctiontype,sdot_colcode,sdot_coldesc,inattentionind,underinfl,weather,roadcond,lightcond,pedrownotgrnt,sdotcolnum,speeding,st_colcode,st_coldesc,seglanekey,crosswalkkey,hitparkedcar,seriousinjuries
-122.313506333322,47.615284514952,198388,277237,278137,3754462,Matched,Block,,E PINE ST BETWEEN 14TH AVE AND 15TH AVE, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,2018-03-17 00:00:00+00,3/17/2018 9:00:00 PM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,False,Unknown,Unknown,Unknown,,,,32.0,One parked--one moving,0,0,True,0
-122.320071295081,47.6384032249514,198389,278343,279243,E780828,Matched,Intersection,28242.0,10TH AVE E AND E BOSTON ST, ,,2,Injury Collision,Pedestrian,2,1,0,1,1,0,2018-03-19 00:00:00+00,3/19/2018 8:10:00 AM,At Intersection (intersection related),24,MOTOR VEHCILE STRUCK PEDESTRIAN,,False,Clear or Partly Cloudy,Dry,Daylight,True,,,1.0,Vehicle turning right hits pedestrian,0,0,False,0
-122.369854737095,47.5716773755416,198391,273563,274403,3744220,Matched,Block,,SW ADMIRAL WY OFF RP BETWEEN WEST SEATTLE BR WB AND SW ADMIRAL WAY, ,,1,Property Damage Only Collision,Other,3,0,0,2,0,0,2018-02-03 00:00:00+00,2/3/2018 12:46:00 PM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,False,Raining,Wet,Daylight,,,,23.0,From same direction - all others,0,0,False,0
-122.320062870958,47.6395471128003,198392,278342,279242,E780826,Matched,Intersection,28237.0,10TH AVE E AND E LYNN ST, ,,2,Injury Collision,Pedestrian,2,0,1,1,1,0,2018-03-21 00:00:00+00,3/21/2018 6:22:00 AM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,False,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,,,5.0,Vehicle Strikes Pedalcyclist,0,0,False,0
-122.36633022905,47.5715760664417,198393,273562,274402,3744219,Matched,Block,,WEST SEATTLE BR WB BETWEEN HARBOR AV SW OFF RP AND SW ADMIRAL WY OFF RP, ,,1,Property Damage Only Collision,Sideswipe,5,0,0,3,0,0,2018-02-03 00:00:00+00,2/3/2018 12:45:00 PM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",True,False,Raining,Wet,Daylight,,,,11.0,From same direction - both going straight - both moving - sideswipe,0,0,False,0
-122.329583246223,47.6602785042236,198394,277220,278120,3754442,Matched,Block,,N 44TH ST BETWEEN SUNNYSIDE AVE N AND EASTERN AVE N, ,,1,Property Damage Only Collision,Parked Car,3,0,0,3,0,0,2018-03-02 00:00:00+00,3/2/2018 1:46:00 AM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,True,Raining,Dry,Dark - No Street Lights,,,,32.0,One parked--one moving,0,0,True,0
-122.33310387059,47.607979458203,198395,279878,280778,3732769,Matched,Intersection,29929.0,5TH AVE AND SENECA ST, ,,1,Property Damage Only Collision,Angles,3,0,0,2,0,0,2018-03-31 00:00:00+00,3/31/2018 10:54:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,False,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,,,10.0,Entering at angle,0,0,False,0
-122.387064655715,47.5512069537726,198396,273561,274401,3742359,Matched,Block,,CALIFORNIA AVE SW BETWEEN SW FINDLAY ST AND SW JUNEAU ST, ,,2,Injury Collision,Pedestrian,2,1,0,1,1,0,2018-02-06 00:00:00+00,2/6/2018 6:46:00 PM,Mid-Block (not related to intersection),24,MOTOR VEHCILE STRUCK PEDESTRIAN,,False,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,,,0.0,Vehicle going straight hits pedestrian,0,0,False,0
-122.346015003517,47.7028824804967,198397,277219,278119,3754405,Matched,Block,,N 102ND ST BETWEEN LINDEN AVE N AND AURORA AVE N, ,,1,Property Damage Only Collision,Parked Car,3,0,0,3,0,0,2018-03-15 00:00:00+00,3/15/2018 10:21:00 PM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,False,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,,,32.0,One parked--one moving,0,0,True,0
-122.311577423146,47.5992245959813,198398,278341,279241,E780825,Matched,Intersection,30748.0,16TH AVE S AND S JACKSON ST, ,,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,2018-03-01 00:00:00+00,3/1/2018 7:25:00 AM,At Intersection (intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,False,Clear or Partly Cloudy,Dry,Daylight,,,,10.0,Entering at angle,0,0,False,0
